post_type,post_title,post_name,sku,post_parent_sku,attribute:pa_color,attribute_data:pa_color,_woodmart_swatch_color,images
product,Acrylit-ST палітра AK,palette-ak,AK-PALETTE,,"AK 1101,AK 1102,AK 1103,AK 1106,AK 1141,AK 1146,AK 1147,AK 1148,AK 1149,AK 1151,AK 1152,AK 1153,AK 1156,AK 1157,AK 1158,AK 1161,AK 1162,AK 1164,AK 1165,AK 1166,AK 1171,AK 1172,AK 1173,AK 1174,AK 1176,AK 1177,AK 1181,AK 1182,AK 1183,AK 1184,AK 1186,AK 1187,AK 1188,AK 1189,AK 1190,AK 1196,AK 1201,AK 1202,AK 1206,AK 1207,AK 1208,AK 1209,AK 1213,AK 1214,AK 1216,AK 1217,AK 1218,AK 1219,AK 1220,AK 1222,AK 1223,AK 1224,AK 1226,AK 1227,AK 1228,AK 1229,AK 1230,AK 1237,AK 1238,AK 1239,AK 1240,AK 1242,AK 1243,AK 1246,AK 1247,AK 1248,AK 1249,AK 1250,AK 1251,AK 1252,AK 1253,AK 1254,AK 1255,AK 1256,AK 1257,AK 1258,AK 1259,AK 1261,AK 1262,AK 1263,AK 1264,AK 1265,AK 1266,AK 1267,AK 1268,AK 1269,AK 1270,AK 1271,AK 1272,AK 1273,AK 1274,AK 1281,AK 1282,AK 1283,AK 1284,AK 1285,AK 1286,AK 1287,AK 1288,AK 1289,AK 1290,AK 1291,AK 1292,AK 1293,AK 1294,AK 1295,AK 1296,AK 1297,AK 1298,AK 1299,AK 1300,AK 1301,AK 1302,AK 1303,AK 1304,AK 1305,AK 1306,AK 1311,AK 1312,AK 1313,AK 1314,AK 1316,AK 1317,AK 1318,AK 1319,AK 1320,AK 1321,AK 1322,AK 1323,AK 1324,AK 1325",1,,
product_variation,AK 1101,ak-1101,AK-1101,AK-PALETTE,AK 1101,1,#ebdec8,https://kosbud.ua/uploads/colors/ak-1101.jpg
product_variation,AK 1102,ak-1102,AK-1102,AK-PALETTE,AK 1102,1,#ecdfb3,https://kosbud.ua/uploads/colors/ak-1102.jpg
product_variation,AK 1103,ak-1103,AK-1103,AK-PALETTE,AK 1103,1,#f1dea6,https://kosbud.ua/uploads/colors/ak-1103.jpg
product_variation,AK 1106,ak-1106,AK-1106,AK-PALETTE,AK 1106,1,#ede2be,https://kosbud.ua/uploads/colors/ak-1106.jpg
product_variation,AK 1141,ak-1141,AK-1141,AK-PALETTE,AK 1141,1,#c07c6f,https://kosbud.ua/uploads/colors/ak-1141.jpg
product_variation,AK 1146,ak-1146,AK-1146,AK-PALETTE,AK 1146,1,#ecdaba,https://kosbud.ua/uploads/colors/ak-1146.jpg
product_variation,AK 1147,ak-1147,AK-1147,AK-PALETTE,AK 1147,1,#e9d8b7,https://kosbud.ua/uploads/colors/ak-1147.jpg
product_variation,AK 1148,ak-1148,AK-1148,AK-PALETTE,AK 1148,1,#e6cea4,https://kosbud.ua/uploads/colors/ak-1148.jpg
product_variation,AK 1149,ak-1149,AK-1149,AK-PALETTE,AK 1149,1,#e5c893,https://kosbud.ua/uploads/colors/ak-1149.jpg
product_variation,AK 1151,ak-1151,AK-1151,AK-PALETTE,AK 1151,1,#f0e7d4,https://kosbud.ua/uploads/colors/ak-1151.jpg
product_variation,AK 1152,ak-1152,AK-1152,AK-PALETTE,AK 1152,1,#ebe1cd,https://kosbud.ua/uploads/colors/ak-1152.jpg
product_variation,AK 1153,ak-1153,AK-1153,AK-PALETTE,AK 1153,1,#eee1c3,https://kosbud.ua/uploads/colors/ak-1153.jpg
product_variation,AK 1156,ak-1156,AK-1156,AK-PALETTE,AK 1156,1,#e4d5b7,https://kosbud.ua/uploads/colors/ak-1156.jpg
product_variation,AK 1157,ak-1157,AK-1157,AK-PALETTE,AK 1157,1,#e6d5b1,https://kosbud.ua/uploads/colors/ak-1157.jpg
product_variation,AK 1158,ak-1158,AK-1158,AK-PALETTE,AK 1158,1,#eed7a6,https://kosbud.ua/uploads/colors/ak-1158.jpg
product_variation,AK 1161,ak-1161,AK-1161,AK-PALETTE,AK 1161,1,#eee4d0,https://kosbud.ua/uploads/colors/ak-1161.jpg
product_variation,AK 1162,ak-1162,AK-1162,AK-PALETTE,AK 1162,1,#e9dec6,https://kosbud.ua/uploads/colors/ak-1162.jpg
product_variation,AK 1164,ak-1164,AK-1164,AK-PALETTE,AK 1164,1,#eed3a8,https://kosbud.ua/uploads/colors/ak-1164.jpg
product_variation,AK 1165,ak-1165,AK-1165,AK-PALETTE,AK 1165,1,#eecc99,https://kosbud.ua/uploads/colors/ak-1165.jpg
product_variation,AK 1166,ak-1166,AK-1166,AK-PALETTE,AK 1166,1,#efddbd,https://kosbud.ua/uploads/colors/ak-1166.jpg
product_variation,AK 1171,ak-1171,AK-1171,AK-PALETTE,AK 1171,1,#efe0cd,https://kosbud.ua/uploads/colors/ak-1171.jpg
product_variation,AK 1172,ak-1172,AK-1172,AK-PALETTE,AK 1172,1,#f0dcc8,https://kosbud.ua/uploads/colors/ak-1172.jpg
product_variation,AK 1173,ak-1173,AK-1173,AK-PALETTE,AK 1173,1,#f2d8be,https://kosbud.ua/uploads/colors/ak-1173.jpg
product_variation,AK 1174,ak-1174,AK-1174,AK-PALETTE,AK 1174,1,#f5ca9b,https://kosbud.ua/uploads/colors/ak-1174.jpg
product_variation,AK 1176,ak-1176,AK-1176,AK-PALETTE,AK 1176,1,#f2e9dd,https://kosbud.ua/uploads/colors/ak-1176.jpg
product_variation,AK 1177,ak-1177,AK-1177,AK-PALETTE,AK 1177,1,#edddc6,https://kosbud.ua/uploads/colors/ak-1177.jpg
product_variation,AK 1181,ak-1181,AK-1181,AK-PALETTE,AK 1181,1,#eedcc8,https://kosbud.ua/uploads/colors/ak-1181.jpg
product_variation,AK 1182,ak-1182,AK-1182,AK-PALETTE,AK 1182,1,#ecd5c3,https://kosbud.ua/uploads/colors/ak-1182.jpg
product_variation,AK 1183,ak-1183,AK-1183,AK-PALETTE,AK 1183,1,#eacfb8,https://kosbud.ua/uploads/colors/ak-1183.jpg
product_variation,AK 1184,ak-1184,AK-1184,AK-PALETTE,AK 1184,1,#e9c5aa,https://kosbud.ua/uploads/colors/ak-1184.jpg
product_variation,AK 1186,ak-1186,AK-1186,AK-PALETTE,AK 1186,1,#eddcd0,https://kosbud.ua/uploads/colors/ak-1186.jpg
product_variation,AK 1187,ak-1187,AK-1187,AK-PALETTE,AK 1187,1,#e8cfbf,https://kosbud.ua/uploads/colors/ak-1187.jpg
product_variation,AK 1188,ak-1188,AK-1188,AK-PALETTE,AK 1188,1,#e9c1aa,https://kosbud.ua/uploads/colors/ak-1188.jpg
product_variation,AK 1189,ak-1189,AK-1189,AK-PALETTE,AK 1189,1,#e7b396,https://kosbud.ua/uploads/colors/ak-1189.jpg
product_variation,AK 1190,ak-1190,AK-1190,AK-PALETTE,AK 1190,1,#e3ad8f,https://kosbud.ua/uploads/colors/ak-1190.jpg
product_variation,AK 1196,ak-1196,AK-1196,AK-PALETTE,AK 1196,1,#eae6c0,https://kosbud.ua/uploads/colors/ak-1196.jpg
product_variation,AK 1201,ak-1201,AK-1201,AK-PALETTE,AK 1201,1,#ede8cd,https://kosbud.ua/uploads/colors/ak-1201.jpg
product_variation,AK 1202,ak-1202,AK-1202,AK-PALETTE,AK 1202,1,#e7e3c1,https://kosbud.ua/uploads/colors/ak-1202.jpg
product_variation,AK 1206,ak-1206,AK-1206,AK-PALETTE,AK 1206,1,#ebe5d2,https://kosbud.ua/uploads/colors/ak-1206.jpg
product_variation,AK 1207,ak-1207,AK-1207,AK-PALETTE,AK 1207,1,#e6dfca,https://kosbud.ua/uploads/colors/ak-1207.jpg
product_variation,AK 1208,ak-1208,AK-1208,AK-PALETTE,AK 1208,1,#ece1c5,https://kosbud.ua/uploads/colors/ak-1208.jpg
product_variation,AK 1209,ak-1209,AK-1209,AK-PALETTE,AK 1209,1,#e8dcb6,https://kosbud.ua/uploads/colors/ak-1209.jpg
product_variation,AK 1213,ak-1213,AK-1213,AK-PALETTE,AK 1213,1,#e4dfce,https://kosbud.ua/uploads/colors/ak-1213.jpg
product_variation,AK 1214,ak-1214,AK-1214,AK-PALETTE,AK 1214,1,#e4e0c4,https://kosbud.ua/uploads/colors/ak-1214.jpg
product_variation,AK 1216,ak-1216,AK-1216,AK-PALETTE,AK 1216,1,#eae8de,https://kosbud.ua/uploads/colors/ak-1216.jpg
product_variation,AK 1217,ak-1217,AK-1217,AK-PALETTE,AK 1217,1,#d8d4c5,https://kosbud.ua/uploads/colors/ak-1217.jpg
product_variation,AK 1218,ak-1218,AK-1218,AK-PALETTE,AK 1218,1,#e4dccb,https://kosbud.ua/uploads/colors/ak-1218.jpg
product_variation,AK 1219,ak-1219,AK-1219,AK-PALETTE,AK 1219,1,#c9cab6,https://kosbud.ua/uploads/colors/ak-1219.jpg
product_variation,AK 1220,ak-1220,AK-1220,AK-PALETTE,AK 1220,1,#b1b296,https://kosbud.ua/uploads/colors/ak-1220.jpg
product_variation,AK 1222,ak-1222,AK-1222,AK-PALETTE,AK 1222,1,#e2d8ca,https://kosbud.ua/uploads/colors/ak-1222.jpg
product_variation,AK 1223,ak-1223,AK-1223,AK-PALETTE,AK 1223,1,#e6d3c4,https://kosbud.ua/uploads/colors/ak-1223.jpg
product_variation,AK 1224,ak-1224,AK-1224,AK-PALETTE,AK 1224,1,#e1c7ae,https://kosbud.ua/uploads/colors/ak-1224.jpg
product_variation,AK 1226,ak-1226,AK-1226,AK-PALETTE,AK 1226,1,#eae1d3,https://kosbud.ua/uploads/colors/ak-1226.jpg
product_variation,AK 1227,ak-1227,AK-1227,AK-PALETTE,AK 1227,1,#e4d8c5,https://kosbud.ua/uploads/colors/ak-1227.jpg
product_variation,AK 1228,ak-1228,AK-1228,AK-PALETTE,AK 1228,1,#e3d1c1,https://kosbud.ua/uploads/colors/ak-1228.jpg
product_variation,AK 1229,ak-1229,AK-1229,AK-PALETTE,AK 1229,1,#e0c0a9,https://kosbud.ua/uploads/colors/ak-1229.jpg
product_variation,AK 1230,ak-1230,AK-1230,AK-PALETTE,AK 1230,1,#d8b194,https://kosbud.ua/uploads/colors/ak-1230.jpg
product_variation,AK 1237,ak-1237,AK-1237,AK-PALETTE,AK 1237,1,#c3c4bf,https://kosbud.ua/uploads/colors/ak-1237.jpg
product_variation,AK 1238,ak-1238,AK-1238,AK-PALETTE,AK 1238,1,#bbbbb5,https://kosbud.ua/uploads/colors/ak-1238.jpg
product_variation,AK 1239,ak-1239,AK-1239,AK-PALETTE,AK 1239,1,#a8aca7,https://kosbud.ua/uploads/colors/ak-1239.jpg
product_variation,AK 1240,ak-1240,AK-1240,AK-PALETTE,AK 1240,1,#9ea19c,https://kosbud.ua/uploads/colors/ak-1240.jpg
product_variation,AK 1242,ak-1242,AK-1242,AK-PALETTE,AK 1242,1,#d3d1cd,https://kosbud.ua/uploads/colors/ak-1242.jpg
product_variation,AK 1243,ak-1243,AK-1243,AK-PALETTE,AK 1243,1,#c3c4bf,https://kosbud.ua/uploads/colors/ak-1243.jpg
product_variation,AK 1246,ak-1246,AK-1246,AK-PALETTE,AK 1246,1,#dcd9d4,https://kosbud.ua/uploads/colors/ak-1246.jpg
product_variation,AK 1247,ak-1247,AK-1247,AK-PALETTE,AK 1247,1,#d2cec7,https://kosbud.ua/uploads/colors/ak-1247.jpg
product_variation,AK 1248,ak-1248,AK-1248,AK-PALETTE,AK 1248,1,#c1bdba,https://kosbud.ua/uploads/colors/ak-1248.jpg
product_variation,AK 1249,ak-1249,AK-1249,AK-PALETTE,AK 1249,1,#adaeaa,https://kosbud.ua/uploads/colors/ak-1249.jpg
product_variation,AK 1250,ak-1250,AK-1250,AK-PALETTE,AK 1250,1,#9fa09e,https://kosbud.ua/uploads/colors/ak-1250.jpg
product_variation,AK 1251,ak-1251,AK-1251,AK-PALETTE,AK 1251,1,#ddd5d1,https://kosbud.ua/uploads/colors/ak-1251.jpg
product_variation,AK 1252,ak-1252,AK-1252,AK-PALETTE,AK 1252,1,#ccc4c0,https://kosbud.ua/uploads/colors/ak-1252.jpg
product_variation,AK 1253,ak-1253,AK-1253,AK-PALETTE,AK 1253,1,#bebab7,https://kosbud.ua/uploads/colors/ak-1253.jpg
product_variation,AK 1254,ak-1254,AK-1254,AK-PALETTE,AK 1254,1,#b5b2b1,https://kosbud.ua/uploads/colors/ak-1254.jpg
product_variation,AK 1255,ak-1255,AK-1255,AK-PALETTE,AK 1255,1,#9f9d9a,https://kosbud.ua/uploads/colors/ak-1255.jpg
product_variation,AK 1256,ak-1256,AK-1256,AK-PALETTE,AK 1256,1,#d7d0cd,https://kosbud.ua/uploads/colors/ak-1256.jpg
product_variation,AK 1257,ak-1257,AK-1257,AK-PALETTE,AK 1257,1,#d2cac6,https://kosbud.ua/uploads/colors/ak-1257.jpg
product_variation,AK 1258,ak-1258,AK-1258,AK-PALETTE,AK 1258,1,#c1bdb6,https://kosbud.ua/uploads/colors/ak-1258.jpg
product_variation,AK 1259,ak-1259,AK-1259,AK-PALETTE,AK 1259,1,#b2aca8,https://kosbud.ua/uploads/colors/ak-1259.jpg
product_variation,AK 1261,ak-1261,AK-1261,AK-PALETTE,AK 1261,1,#e9e0da,https://kosbud.ua/uploads/colors/ak-1261.jpg
product_variation,AK 1262,ak-1262,AK-1262,AK-PALETTE,AK 1262,1,#d3cec3,https://kosbud.ua/uploads/colors/ak-1262.jpg
product_variation,AK 1263,ak-1263,AK-1263,AK-PALETTE,AK 1263,1,#cfc4bb,https://kosbud.ua/uploads/colors/ak-1263.jpg
product_variation,AK 1264,ak-1264,AK-1264,AK-PALETTE,AK 1264,1,#bcaea2,https://kosbud.ua/uploads/colors/ak-1264.jpg
product_variation,AK 1265,ak-1265,AK-1265,AK-PALETTE,AK 1265,1,#a99b8d,https://kosbud.ua/uploads/colors/ak-1265.jpg
product_variation,AK 1266,ak-1266,AK-1266,AK-PALETTE,AK 1266,1,#d7d6d5,https://kosbud.ua/uploads/colors/ak-1266.jpg
product_variation,AK 1267,ak-1267,AK-1267,AK-PALETTE,AK 1267,1,#c9c6be,https://kosbud.ua/uploads/colors/ak-1267.jpg
product_variation,AK 1268,ak-1268,AK-1268,AK-PALETTE,AK 1268,1,#c1bdb6,https://kosbud.ua/uploads/colors/ak-1268.jpg
product_variation,AK 1269,ak-1269,AK-1269,AK-PALETTE,AK 1269,1,#b1b0a9,https://kosbud.ua/uploads/colors/ak-1269.jpg
product_variation,AK 1270,ak-1270,AK-1270,AK-PALETTE,AK 1270,1,#9d9b92,https://kosbud.ua/uploads/colors/ak-1270.jpg
product_variation,AK 1271,ak-1271,AK-1271,AK-PALETTE,AK 1271,1,#b0b0b0,https://kosbud.ua/uploads/colors/ak-1271.jpg
product_variation,AK 1272,ak-1272,AK-1272,AK-PALETTE,AK 1272,1,#999896,https://kosbud.ua/uploads/colors/ak-1272.jpg
product_variation,AK 1273,ak-1273,AK-1273,AK-PALETTE,AK 1273,1,#888888,https://kosbud.ua/uploads/colors/ak-1273.jpg
product_variation,AK 1274,ak-1274,AK-1274,AK-PALETTE,AK 1274,1,#5e6162,https://kosbud.ua/uploads/colors/ak-1274.jpg
product_variation,AK 1281,ak-1281,AK-1281,AK-PALETTE,AK 1281,1,#e6ded0,https://kosbud.ua/uploads/colors/ak-1281.jpg
product_variation,AK 1282,ak-1282,AK-1282,AK-PALETTE,AK 1282,1,#e2d9c7,https://kosbud.ua/uploads/colors/ak-1282.jpg
product_variation,AK 1283,ak-1283,AK-1283,AK-PALETTE,AK 1283,1,#e7d0bd,https://kosbud.ua/uploads/colors/ak-1283.jpg
product_variation,AK 1284,ak-1284,AK-1284,AK-PALETTE,AK 1284,1,#ddc1a8,https://kosbud.ua/uploads/colors/ak-1284.jpg
product_variation,AK 1285,ak-1285,AK-1285,AK-PALETTE,AK 1285,1,#caae94,https://kosbud.ua/uploads/colors/ak-1285.jpg
product_variation,AK 1286,ak-1286,AK-1286,AK-PALETTE,AK 1286,1,#e8dacf,https://kosbud.ua/uploads/colors/ak-1286.jpg
product_variation,AK 1287,ak-1287,AK-1287,AK-PALETTE,AK 1287,1,#e3d4c8,https://kosbud.ua/uploads/colors/ak-1287.jpg
product_variation,AK 1288,ak-1288,AK-1288,AK-PALETTE,AK 1288,1,#d8c6b6,https://kosbud.ua/uploads/colors/ak-1288.jpg
product_variation,AK 1289,ak-1289,AK-1289,AK-PALETTE,AK 1289,1,#c7b2a2,https://kosbud.ua/uploads/colors/ak-1289.jpg
product_variation,AK 1290,ak-1290,AK-1290,AK-PALETTE,AK 1290,1,#b49f8d,https://kosbud.ua/uploads/colors/ak-1290.jpg
product_variation,AK 1291,ak-1291,AK-1291,AK-PALETTE,AK 1291,1,#e5d7cc,https://kosbud.ua/uploads/colors/ak-1291.jpg
product_variation,AK 1292,ak-1292,AK-1292,AK-PALETTE,AK 1292,1,#efdfd7,https://kosbud.ua/uploads/colors/ak-1292.jpg
product_variation,AK 1293,ak-1293,AK-1293,AK-PALETTE,AK 1293,1,#d8c9c0,https://kosbud.ua/uploads/colors/ak-1293.jpg
product_variation,AK 1294,ak-1294,AK-1294,AK-PALETTE,AK 1294,1,#cdb3aa,https://kosbud.ua/uploads/colors/ak-1294.jpg
product_variation,AK 1295,ak-1295,AK-1295,AK-PALETTE,AK 1295,1,#b39b90,https://kosbud.ua/uploads/colors/ak-1295.jpg
