Name,Type,SKU,Parent SKU,Attribute:pa_color,Images,_woodmart_swatch_color
Фарба KOSBUD,variable,kosbud,,,,
PK 1123,variation,pk-1123,kosbud,PK 1123,colors/pk-1123.png,#ebb94c
DK 1122,variation,dk-1122,kosbud,DK 1122,colors/dk-1122.png,#eabd60
CK 1121,variation,ck-1121,kosbud,CK 1121,colors/ck-1121.png,#edca79
PK 1120,variation,pk-1120,kosbud,PK 1120,colors/pk-1120.png,#fac74c
DK 1119,variation,dk-1119,kosbud,DK 1119,colors/dk-1119.png,#fec95a
CK 1118,variation,ck-1118,kosbud,CK 1118,colors/ck-1118.png,#f2d167
BK 1117,variation,bk-1117,kosbud,BK 1117,colors/bk-1117.png,#f4d781
BK 1116,variation,bk-1116,kosbud,BK 1116,colors/bk-1116.png,#f0d895
DK 1115,variation,dk-1115,kosbud,DK 1115,colors/dk-1115.png,#eacd59
DK 1114,variation,dk-1114,kosbud,DK 1114,colors/dk-1114.png,#e9d562
CK 1113,variation,ck-1113,kosbud,CK 1113,colors/ck-1113.png,#e8d159
BK 1112,variation,bk-1112,kosbud,BK 1112,colors/bk-1112.png,#efd97f
BK 1111,variation,bk-1111,kosbud,BK 1111,colors/bk-1111.png,#efdc92
BK 1104,variation,bk-1104,kosbud,BK 1104,colors/bk-1104.png,#f5de94
AK 1103,variation,ak-1103,kosbud,AK 1103,colors/ak-1103.png,#f1dea6
AK 1102,variation,ak-1102,kosbud,AK 1102,colors/ak-1102.png,#ecdfb3
AK 1101,variation,ak-1101,kosbud,AK 1101,colors/ak-1101.png,#ebdec8
BK 1110,variation,bk-1110,kosbud,BK 1110,colors/bk-1110.png,#f5de8e
BK 1109,variation,bk-1109,kosbud,BK 1109,colors/bk-1109.png,#f1df98
BK 1108,variation,bk-1108,kosbud,BK 1108,colors/bk-1108.png,#eedfaa
BK 1107,variation,bk-1107,kosbud,BK 1107,colors/bk-1107.png,#ecdfb3
AK 1106,variation,ak-1106,kosbud,AK 1106,colors/ak-1106.png,#ede2be
BK 1105,variation,bk-1105,kosbud,BK 1105,colors/bk-1105.png,#efda77
PK 1124,variation,pk-1124,kosbud,PK 1124,colors/pk-1124.png,#e8ae43
PK 1125,variation,pk-1125,kosbud,PK 1125,colors/pk-1125.png,#e6a838
CK 1126,variation,ck-1126,kosbud,CK 1126,colors/ck-1126.png,#f3bb89
DK 1127,variation,dk-1127,kosbud,DK 1127,colors/dk-1127.png,#f2ac72
PK 1128,variation,pk-1128,kosbud,PK 1128,colors/pk-1128.png,#f59f5f
PK 1129,variation,pk-1129,kosbud,PK 1129,colors/pk-1129.png,#f19452
PK 1130,variation,pk-1130,kosbud,PK 1130,colors/pk-1130.png,#ec8e4b
BK 1131,variation,bk-1131,kosbud,BK 1131,colors/bk-1131.png,#e4b08a
BK 1132,variation,bk-1132,kosbud,BK 1132,colors/bk-1132.png,#db9a62
DK 1133,variation,dk-1133,kosbud,DK 1133,colors/dk-1133.png,#d58d58
DK 1134,variation,dk-1134,kosbud,DK 1134,colors/dk-1134.png,#d28650
PK 1135,variation,pk-1135,kosbud,PK 1135,colors/pk-1135.png,#cc7d4c
PK 1136,variation,pk-1136,kosbud,PK 1136,colors/pk-1136.png,#e8757e
PK 1137,variation,pk-1137,kosbud,PK 1137,colors/pk-1137.png,#e56e77
PK 1138,variation,pk-1138,kosbud,PK 1138,colors/pk-1138.png,#e25661
PK 1139,variation,pk-1139,kosbud,PK 1139,colors/pk-1139.png,#d9424b
PK 1140,variation,pk-1140,kosbud,PK 1140,colors/pk-1140.png,#d23544
AK 1141,variation,ak-1141,kosbud,AK 1141,colors/ak-1141.png,#c07c6f
BK 1142,variation,bk-1142,kosbud,BK 1142,colors/bk-1142.png,#be796b
BK 1143,variation,bk-1143,kosbud,BK 1143,colors/bk-1143.png,#b25f53
CK 1144,variation,ck-1144,kosbud,CK 1144,colors/ck-1144.png,#a95348
DK 1145,variation,dk-1145,kosbud,DK 1145,colors/dk-1145.png,#9b4b3e
AK 1146,variation,ak-1146,kosbud,AK 1146,colors/ak-1146.png,#ecdaba
AK 1147,variation,ak-1147,kosbud,AK 1147,colors/ak-1147.png,#e9d8b7
AK 1148,variation,ak-1148,kosbud,AK 1148,colors/ak-1148.png,#e6cea4
AK 1149,variation,ak-1149,kosbud,AK 1149,colors/ak-1149.png,#e5c893
BK 1150,variation,bk-1150,kosbud,BK 1150,colors/bk-1150.png,#dfbf88
AK 1151,variation,ak-1151,kosbud,AK 1151,colors/ak-1151.png,#f0e7d4
AK 1152,variation,ak-1152,kosbud,AK 1152,colors/ak-1152.png,#ebe1cd
AK 1153,variation,ak-1153,kosbud,AK 1153,colors/ak-1153.png,#eee1c3
BK 1154,variation,bk-1154,kosbud,BK 1154,colors/bk-1154.png,#ebd8ac
BK 1155,variation,bk-1155,kosbud,BK 1155,colors/bk-1155.png,#e7cb92
AK 1156,variation,ak-1156,kosbud,AK 1156,colors/ak-1156.png,#e4d5b7
AK 1157,variation,ak-1157,kosbud,AK 1157,colors/ak-1157.png,#e6d5b1
AK 1158,variation,ak-1158,kosbud,AK 1158,colors/ak-1158.png,#eed7a6
BK 1160,variation,bk-1160,kosbud,BK 1160,colors/bk-1160.png,#f0cc8d
AK 1161,variation,ak-1161,kosbud,AK 1161,colors/ak-1161.png,#eee4d0
AK 1162,variation,ak-1162,kosbud,AK 1162,colors/ak-1162.png,#e9dec6
AK 1164,variation,ak-1164,kosbud,AK 1164,colors/ak-1164.png,#eed3a8
AK 1165,variation,ak-1165,kosbud,AK 1165,colors/ak-1165.png,#eecc99
AK 1166,variation,ak-1166,kosbud,AK 1166,colors/ak-1166.png,#efddbd
BK 1167,variation,bk-1167,kosbud,BK 1167,colors/bk-1167.png,#efd6b0
BK 1168,variation,bk-1168,kosbud,BK 1168,colors/bk-1168.png,#efcb9d
BK 1169,variation,bk-1169,kosbud,BK 1169,colors/bk-1169.png,#eec592
CK 1170,variation,ck-1170,kosbud,CK 1170,colors/ck-1170.png,#eabb82
AK 1171,variation,ak-1171,kosbud,AK 1171,colors/ak-1171.png,#efe0cd
AK 1172,variation,ak-1172,kosbud,AK 1172,colors/ak-1172.png,#f0dcc8
AK 1173,variation,ak-1173,kosbud,AK 1173,colors/ak-1173.png,#f2d8be
AK 1174,variation,ak-1174,kosbud,AK 1174,colors/ak-1174.png,#f5ca9b
BK 1175,variation,bk-1175,kosbud,BK 1175,colors/bk-1175.png,#f6c192
AK 1176,variation,ak-1176,kosbud,AK 1176,colors/ak-1176.png,#f2e9dd
AK 1177,variation,ak-1177,kosbud,AK 1177,colors/ak-1177.png,#edddc6
BK 1178,variation,bk-1178,kosbud,BK 1178,colors/bk-1178.png,#f2d5b2
BK 1179,variation,bk-1179,kosbud,BK 1179,colors/bk-1179.png,#f2d1ad
BK 1180,variation,bk-1180,kosbud,BK 1180,colors/bk-1180.png,#f6cca3
AK 1181,variation,ak-1181,kosbud,AK 1181,colors/ak-1181.png,#eedcc8
AK 1182,variation,ak-1182,kosbud,AK 1182,colors/ak-1182.png,#ecd5c3
AK 1183,variation,ak-1183,kosbud,AK 1183,colors/ak-1183.png,#eacfb8
AK 1184,variation,ak-1184,kosbud,AK 1184,colors/ak-1184.png,#e9c5aa
BK 1185,variation,bk-1185,kosbud,BK 1185,colors/bk-1185.png,#e9bda1
AK 1186,variation,ak-1186,kosbud,AK 1186,colors/ak-1186.png,#eddcd0
AK 1187,variation,ak-1187,kosbud,AK 1187,colors/ak-1187.png,#e8cfbf
AK 1188,variation,ak-1188,kosbud,AK 1188,colors/ak-1188.png,#e9c1aa
AK 1189,variation,ak-1189,kosbud,AK 1189,colors/ak-1189.png,#e7b396
AK 1190,variation,ak-1190,kosbud,AK 1190,colors/ak-1190.png,#e3ad8f
BK 1192,variation,bk-1192,kosbud,BK 1192,colors/bk-1192.png,#cdd1b0
BK 1193,variation,bk-1193,kosbud,BK 1193,colors/bk-1193.png,#bbbe96
BK 1194,variation,bk-1194,kosbud,BK 1194,colors/bk-1194.png,#acb185
CK 1195,variation,ck-1195,kosbud,CK 1195,colors/ck-1195.png,#a4a978
AK 1196,variation,ak-1196,kosbud,AK 1196,colors/ak-1196.png,#eae6c0
BK 1197,variation,bk-1197,kosbud,BK 1197,colors/bk-1197.png,#dcd9ad
BK 1198,variation,bk-1198,kosbud,BK 1198,colors/bk-1198.png,#d4d49e
CK 1199,variation,ck-1199,kosbud,CK 1199,colors/ck-1199.png,#cbcd8a
DK 1200,variation,dk-1200,kosbud,DK 1200,colors/dk-1200.png,#b6c275
AK 1201,variation,ak-1201,kosbud,AK 1201,colors/ak-1201.png,#ede8cd
AK 1202,variation,ak-1202,kosbud,AK 1202,colors/ak-1202.png,#e7e3c1
BK 1203,variation,bk-1203,kosbud,BK 1203,colors/bk-1203.png,#e3e2b3
BK 1204,variation,bk-1204,kosbud,BK 1204,colors/bk-1204.png,#e0e4a3
CK 1205,variation,ck-1205,kosbud,CK 1205,colors/ck-1205.png,#e0e193
AK 1206,variation,ak-1206,kosbud,AK 1206,colors/ak-1206.png,#ebe5d2
AK 1207,variation,ak-1207,kosbud,AK 1207,colors/ak-1207.png,#e6dfca
AK 1208,variation,ak-1208,kosbud,AK 1208,colors/ak-1208.png,#ece1c5
AK 1209,variation,ak-1209,kosbud,AK 1209,colors/ak-1209.png,#e8dcb6
BK 1210,variation,bk-1210,kosbud,BK 1210,colors/bk-1210.png,#e7dda7
AK 1213,variation,ak-1213,kosbud,AK 1213,colors/ak-1213.png,#e4dfce
AK 1214,variation,ak-1214,kosbud,AK 1214,colors/ak-1214.png,#e4e0c4
BK 1215,variation,bk-1215,kosbud,BK 1215,colors/bk-1215.png,#e0dab5
AK 1216,variation,ak-1216,kosbud,AK 1216,colors/ak-1216.png,#eae8de
AK 1217,variation,ak-1217,kosbud,AK 1217,colors/ak-1217.png,#d8d4c5
AK 1218,variation,ak-1218,kosbud,AK 1218,colors/ak-1218.png,#e4dccb
AK 1219,variation,ak-1219,kosbud,AK 1219,colors/ak-1219.png,#c9cab6
AK 1220,variation,ak-1220,kosbud,AK 1220,colors/ak-1220.png,#b1b296
AK 1222,variation,ak-1222,kosbud,AK 1222,colors/ak-1222.png,#e2d8ca
AK 1223,variation,ak-1223,kosbud,AK 1223,colors/ak-1223.png,#e6d3c4
AK 1224,variation,ak-1224,kosbud,AK 1224,colors/ak-1224.png,#e1c7ae
AK 1226,variation,ak-1226,kosbud,AK 1226,colors/ak-1226.png,#eae1d3
AK 1227,variation,ak-1227,kosbud,AK 1227,colors/ak-1227.png,#e4d8c5
AK 1228,variation,ak-1228,kosbud,AK 1228,colors/ak-1228.png,#e3d1c1
AK 1229,variation,ak-1229,kosbud,AK 1229,colors/ak-1229.png,#e0c0a9
AK 1230,variation,ak-1230,kosbud,AK 1230,colors/ak-1230.png,#d8b194
BK 1231,variation,bk-1231,kosbud,BK 1231,colors/bk-1231.png,#aa836e
BK 1232,variation,bk-1232,kosbud,BK 1232,colors/bk-1232.png,#a57d67
CK 1233,variation,ck-1233,kosbud,CK 1233,colors/ck-1233.png,#8c6e53
BK 1234,variation,bk-1234,kosbud,BK 1234,colors/bk-1234.png,#83644c
DK 1235,variation,dk-1235,kosbud,DK 1235,colors/dk-1235.png,#64534d
BK 1236,variation,bk-1236,kosbud,BK 1236,colors/bk-1236.png,#edeae5
AK 1237,variation,ak-1237,kosbud,AK 1237,colors/ak-1237.png,#c3c4bf
AK 1238,variation,ak-1238,kosbud,AK 1238,colors/ak-1238.png,#bbbbb5
AK 1239,variation,ak-1239,kosbud,AK 1239,colors/ak-1239.png,#a8aca7
AK 1240,variation,ak-1240,kosbud,AK 1240,colors/ak-1240.png,#9ea19c
AK 1242,variation,ak-1242,kosbud,AK 1242,colors/ak-1242.png,#d3d1cd
AK 1243,variation,ak-1243,kosbud,AK 1243,colors/ak-1243.png,#c3c4bf
BK 1244,variation,bk-1244,kosbud,BK 1244,colors/bk-1244.png,#a9aba9
BK 1245,variation,bk-1245,kosbud,BK 1245,colors/bk-1245.png,#979c9a
AK 1246,variation,ak-1246,kosbud,AK 1246,colors/ak-1246.png,#dcd9d4
AK 1247,variation,ak-1247,kosbud,AK 1247,colors/ak-1247.png,#d2cec7
AK 1248,variation,ak-1248,kosbud,AK 1248,colors/ak-1248.png,#c1bdba
AK 1249,variation,ak-1249,kosbud,AK 1249,colors/ak-1249.png,#adaeaa
AK 1250,variation,ak-1250,kosbud,AK 1250,colors/ak-1250.png,#9fa09e
AK 1251,variation,ak-1251,kosbud,AK 1251,colors/ak-1251.png,#ddd5d1
AK 1252,variation,ak-1252,kosbud,AK 1252,colors/ak-1252.png,#ccc4c0
AK 1253,variation,ak-1253,kosbud,AK 1253,colors/ak-1253.png,#bebab7
AK 1254,variation,ak-1254,kosbud,AK 1254,colors/ak-1254.png,#b5b2b1
AK 1255,variation,ak-1255,kosbud,AK 1255,colors/ak-1255.png,#9f9d9a
AK 1256,variation,ak-1256,kosbud,AK 1256,colors/ak-1256.png,#d7d0cd
AK 1257,variation,ak-1257,kosbud,AK 1257,colors/ak-1257.png,#d2cac6
AK 1258,variation,ak-1258,kosbud,AK 1258,colors/ak-1258.png,#c1bdb6
AK 1259,variation,ak-1259,kosbud,AK 1259,colors/ak-1259.png,#b2aca8
AK 1261,variation,ak-1261,kosbud,AK 1261,colors/ak-1261.png,#e9e0da
AK 1262,variation,ak-1262,kosbud,AK 1262,colors/ak-1262.png,#d3cec3
AK 1263,variation,ak-1263,kosbud,AK 1263,colors/ak-1263.png,#cfc4bb
AK 1264,variation,ak-1264,kosbud,AK 1264,colors/ak-1264.png,#bcaea2
AK 1265,variation,ak-1265,kosbud,AK 1265,colors/ak-1265.png,#a99b8d
AK 1266,variation,ak-1266,kosbud,AK 1266,colors/ak-1266.png,#d7d6d5
AK 1267,variation,ak-1267,kosbud,AK 1267,colors/ak-1267.png,#c9c6be
AK 1268,variation,ak-1268,kosbud,AK 1268,colors/ak-1268.png,#c1bdb6
AK 1269,variation,ak-1269,kosbud,AK 1269,colors/ak-1269.png,#b1b0a9
AK 1270,variation,ak-1270,kosbud,AK 1270,colors/ak-1270.png,#9d9b92
AK 1271,variation,ak-1271,kosbud,AK 1271,colors/ak-1271.png,#b0b0b0
AK 1272,variation,ak-1272,kosbud,AK 1272,colors/ak-1272.png,#999896
AK 1273,variation,ak-1273,kosbud,AK 1273,colors/ak-1273.png,#888888
AK 1274,variation,ak-1274,kosbud,AK 1274,colors/ak-1274.png,#5e6162
BK 1275,variation,bk-1275,kosbud,BK 1275,colors/bk-1275.png,#5e6162
CK 1276,variation,ck-1276,kosbud,CK 1276,colors/ck-1276.png,#9c7e5f
BK 1277,variation,bk-1277,kosbud,BK 1277,colors/bk-1277.png,#917267
BK 1278,variation,bk-1278,kosbud,BK 1278,colors/bk-1278.png,#87685a
DK 1279,variation,dk-1279,kosbud,DK 1279,colors/dk-1279.png,#7a5c4f
BK 1280,variation,bk-1280,kosbud,BK 1280,colors/bk-1280.png,#664f45
AK 1281,variation,ak-1281,kosbud,AK 1281,colors/ak-1281.png,#e6ded0
AK 1282,variation,ak-1282,kosbud,AK 1282,colors/ak-1282.png,#e2d9c7
AK 1283,variation,ak-1283,kosbud,AK 1283,colors/ak-1283.png,#e7d0bd
AK 1284,variation,ak-1284,kosbud,AK 1284,colors/ak-1284.png,#ddc1a8
AK 1285,variation,ak-1285,kosbud,AK 1285,colors/ak-1285.png,#caae94
AK 1286,variation,ak-1286,kosbud,AK 1286,colors/ak-1286.png,#e8dacf
AK 1287,variation,ak-1287,kosbud,AK 1287,colors/ak-1287.png,#e3d4c8
AK 1288,variation,ak-1288,kosbud,AK 1288,colors/ak-1288.png,#d8c6b6
AK 1289,variation,ak-1289,kosbud,AK 1289,colors/ak-1289.png,#c7b2a2
AK 1290,variation,ak-1290,kosbud,AK 1290,colors/ak-1290.png,#b49f8d
AK 1291,variation,ak-1291,kosbud,AK 1291,colors/ak-1291.png,#e5d7cc
AK 1292,variation,ak-1292,kosbud,AK 1292,colors/ak-1292.png,#efdfd7
AK 1293,variation,ak-1293,kosbud,AK 1293,colors/ak-1293.png,#d8c9c0
AK 1294,variation,ak-1294,kosbud,AK 1294,colors/ak-1294.png,#cdb3aa
AK 1295,variation,ak-1295,kosbud,AK 1295,colors/ak-1295.png,#b39b90
AK 1296,variation,ak-1296,kosbud,AK 1296,colors/ak-1296.png,#e5d3cb
AK 1297,variation,ak-1297,kosbud,AK 1297,colors/ak-1297.png,#decac3
AK 1298,variation,ak-1298,kosbud,AK 1298,colors/ak-1298.png,#dbc0b7
AK 1299,variation,ak-1299,kosbud,AK 1299,colors/ak-1299.png,#c8aa9e
AK 1300,variation,ak-1300,kosbud,AK 1300,colors/ak-1300.png,#b39489
AK 1301,variation,ak-1301,kosbud,AK 1301,colors/ak-1301.png,#d5cfd5
AK 1302,variation,ak-1302,kosbud,AK 1302,colors/ak-1302.png,#b8b7bf
AK 1303,variation,ak-1303,kosbud,AK 1303,colors/ak-1303.png,#a8aab7
AK 1304,variation,ak-1304,kosbud,AK 1304,colors/ak-1304.png,#9c9ca8
AK 1305,variation,ak-1305,kosbud,AK 1305,colors/ak-1305.png,#828593
AK 1306,variation,ak-1306,kosbud,AK 1306,colors/ak-1306.png,#d1dcd9
BK 1307,variation,bk-1307,kosbud,BK 1307,colors/bk-1307.png,#c4d1ce
BK 1308,variation,bk-1308,kosbud,BK 1308,colors/bk-1308.png,#b4c7c8
BK 1309,variation,bk-1309,kosbud,BK 1309,colors/bk-1309.png,#a8c0c0
CK 1310,variation,ck-1310,kosbud,CK 1310,colors/ck-1310.png,#a1bdc1
AK 1311,variation,ak-1311,kosbud,AK 1311,colors/ak-1311.png,#d5dbd5
AK 1312,variation,ak-1312,kosbud,AK 1312,colors/ak-1312.png,#c3cec7
AK 1313,variation,ak-1313,kosbud,AK 1313,colors/ak-1313.png,#b9cac4
AK 1314,variation,ak-1314,kosbud,AK 1314,colors/ak-1314.png,#aabcb8
BK 1315,variation,bk-1315,kosbud,BK 1315,colors/bk-1315.png,#98b0aa
AK 1316,variation,ak-1316,kosbud,AK 1316,colors/ak-1316.png,#bcd6d8
AK 1317,variation,ak-1317,kosbud,AK 1317,colors/ak-1317.png,#accccf
AK 1318,variation,ak-1318,kosbud,AK 1318,colors/ak-1318.png,#a6c6c9
AK 1319,variation,ak-1319,kosbud,AK 1319,colors/ak-1319.png,#94bdc4
AK 1320,variation,ak-1320,kosbud,AK 1320,colors/ak-1320.png,#7cadba
AK 1321,variation,ak-1321,kosbud,AK 1321,colors/ak-1321.png,#c2d5d6
AK 1322,variation,ak-1322,kosbud,AK 1322,colors/ak-1322.png,#bdd2d3
AK 1323,variation,ak-1323,kosbud,AK 1323,colors/ak-1323.png,#96c8da
AK 1324,variation,ak-1324,kosbud,AK 1324,colors/ak-1324.png,#65b8d6
AK 1325,variation,ak-1325,kosbud,AK 1325,colors/ak-1325.png,#52aad3
